"Kreis";"Ort";"Typ";"Hersteller";"Nabenhoehe";"Rotordurchmesser";"Schallleistungspegel";"Leistung";"Leistungsbezug";"Ostwert";"Nordwert";"Genehmigt_am";"Iinbetriebnahme";"Status";"Bst_Nr";"Anl_Nr";"Datendatum";"Datenquelle"
"Kiel";"Kiel";"Nordex N131 - 3,0 MW";"Nordex";"134";"131";;3000;"kW Nennleist. Rotor.";32571605;6013660;;;"im Gen.Verf.";"02000000317";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Kiel";"Kiel";"Nordex N131 - 3,0 MW";"Nordex";"134";"131";;3000;"kW Nennleist. Rotor.";32572117;6013490;;;"im Gen.Verf.";"02000000317";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Kiel";"Kiel";"Nordex N131 - 3,0 MW";"Nordex";"134";"131";;3000;"kW Nennleist. Rotor.";32572497;6013607;;;"im Gen.Verf.";"02000000317";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Lübeck";"Lübeck";"Enercon E 82 E";"Enercon";"78";"82";"104,5 dB(A)";2300;"kW Nennleist. Rotor.";32619817;5978875;01.04.11;25.09.12;"in Betrieb";"03000924205";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Lübeck";"Lübeck";"Enercon E-82 E";"Enercon";"85";"82";"104,5";2300;"kW Nennleist. Rotor.";32619815;5977994;01.04.11;25.09.12;"in Betrieb";"03000924205";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Lübeck";"Lübeck";"Tacke TW 600";"Tacke";"50";"43";"98,3";600;"kW Nennleist. Rotor.";32620847;5977577;16.04.96;04.10.96;"in Betrieb";"03000924233";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Albersdorf";"WKA Enercon E-160 EP5 E3";"Enercon";"120";"160";"HZ /dB(A) | 63/81,2 | 125/87 | 250/92,2 | 500/96,2 | 1000/97 | 2000/94,9 | 4000/87,4 | 8000/ | SLP=101,8 dB(A); 108,5 dB(A)";5500;"kW Nennleist. Rotor.";32517045;5997104;20.12.21;;"vor Inbetriebnahme";"51001000009";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Albersdorf";"Vestas V112";"Vestas";"119";"112";"106,5 dB(A)/106,5 dB(A)";3450;"kW Nennleist. Rotor.";32516648;5999295;07.10.13;11.06.14;"in Betrieb";"51001900011";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Albersdorf";"Vestas V112";"Vestas";"119";"112";"106,5 dB(A)/106,5 dB(A)";3450;"kW Nennleist. Rotor.";32516599;5998975;07.10.13;11.06.14;"in Betrieb";"51001900011";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Albersdorf";"Vestas V112 3.3";"Vestas";"119";"112";"106,5 dB(A)/106,5 dB(A)";3450;"kW Nennleist. Rotor.";32516709;5998672;07.10.13;11.06.14;"in Betrieb";"51001900011";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Albersdorf";"Vestas  V112 3.3";"Vestas";"119";"112";"106,5 dB(A)/106,5 dB(A)";3450;"kW Nennleist. Rotor.";32516928;5998977;07.10.13;11.06.14;"in Betrieb";"51001900011";"0004";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Albersdorf";"Vestas V112 3.3";"Vestas";"119";"112";"106,5 dB(A)/106,5 dB(A)";3450;"kW Nennleist. Rotor.";32517034;5998625;07.10.13;11.06.14;"in Betrieb";"51001900011";"0005";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Albersdorf";"Vestas V112 3.3";"Vestas";"94";"112";"106,5 dB(A)/104,8 dB(A)";3300;"kW Nennleist. Rotor.";32516771;5998370;19.06.14;09.06.15;"in Betrieb";"51001900011";"0006";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA Repower 3.4M";"REpower";"98";"104";"105,6 dB(A)/105,6 dB(A)";3400;"kW Nennleist. Rotor.";32501310;5985045;02.09.11;15.03.12;"in Betrieb";"51006000021";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA Repower 3.4M";"REpower";"98";"104";"105,6 dB(A)/105,6 dB(A)";3400;"kW Nennleist. Rotor.";32501312;5984751;02.09.11;06.04.12;"in Betrieb";"51006000022";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"Vestas V39";"Vestas";"40,5";"39";"103";500;"kW Nennleist. Rotor.";32503055;5983581;12.07.93;07.12.93;"in Betrieb";"51006506683";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA Repower 3.4M";"REpower";"98";"104";"105,6 dB(A)/105,6 dB(A)";3400;"kW Nennleist. Rotor.";32500871;5984861;02.09.11;26.03.12;"in Betrieb";"51006506684";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA Repower 3.4 M ";"REpower";"98";"104";"105,6dB(A)/105,6 dB(A)";3400;"kW Nennleist. Rotor.";32500950;5985172;02.09.11;24.04.12;"in Betrieb";"51006506684";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"Vestas V39";"Vestas";"40,5";"39";"103";500;"kW Nennleist. Rotor.";32501835;5987736;31.12.99;31.12.99;"in Betrieb";"51006506688";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA Enercon E101";"Enercon";"99";"101";"106,0 dB(A), 104,4dB(A)";3050;"kW Nennleist. Rotor.";32504637;5984541;15.08.14;03.08.15;"in Betrieb";"51006506692";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA Enercon E101";"Enercon";"99";"101";"106,0 dB(A), 106,0 dB(A)";3050;"kW Nennleist. Rotor.";32505285;5984584;15.08.14;03.09.15;"in Betrieb";"51006506692";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 3 Enercon E101";"Enercon";"99";"101";"106dB(A), 106dB(A)";3050;"kW Nennleist. Rotor.";32505006;5984301;15.08.14;01.10.15;"in Betrieb";"51006506692";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 4 Enercon E101";"Enercon";"99";"101";"106,0 dB(A), 106,0 dB(A)";3050;"kW Nennleist. Rotor.";32503858;5983256;15.08.14;14.09.15;"in Betrieb";"51006506692";"0004";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 5 Enercon E101";"Enercon";"99";"101";"106,0 dB(A), 104,0 dB(A) ";3050;"kW Nennleist. Rotor.";32504280;5983200;15.08.14;14.09.15;"in Betrieb";"51006506692";"0005";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 1 REpower 3.2M114";"REpower";"93";"114";"105,2 dB(A), 103,7dB(A)";3200;"kW Nennleist. Rotor.";32505189;5983955;06.08.14;28.04.15;"in Betrieb";"51006506693";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 105,2dB(A)";3200;"kW Nennleist. Rotor.";32505721;5983498;06.08.14;23.04.15;"in Betrieb";"51006506694";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA REpower 3.2M114";"REpower";"93";"114";"105,2 dB(A)/105,2 dB(A)";3170;"kW Nennleist. Rotor.";32500684;5985304;11.02.15;03.03.16;"in Betrieb";"51006506695";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 104,3dB(A)";3200;"kW Nennleist. Rotor.";32504599;5984159;06.08.14;09.06.15;"in Betrieb";"51006506696";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 104,7dB(A)";3200;"kW Nennleist. Rotor.";32504761;5983821;06.08.14;23.06.15;"in Betrieb";"51006506696";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 103,3dB(A)";3200;"kW Nennleist. Rotor.";32504362;5983845;06.08.14;24.06.15;"in Betrieb";"51006506696";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 104,2 dB(A)";3200;"kW Nennleist. Rotor.";32504565;5983531;06.08.14;03.07.15;"in Betrieb";"51006506696";"0004";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 104,0dB(A)";3200;"kW Nennleist. Rotor.";32504162;5983577;06.08.14;09.07.15;"in Betrieb";"51006506696";"0005";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 105,2 dB(A)";3200;"kW Nennleist. Rotor.";32505584;5983915;06.08.14;28.05.15;"in Betrieb";"51006506696";"0006";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 105,2dB(A)";3200;"kW Nennleist. Rotor.";32505479;5984209;06.08.14;29.06.15;"in Betrieb";"51006506696";"0007";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 2 REpower 3.4 M";"REpower";"80";"104";"105,6 dB(A), 100 dB(A)";3400;"kW Nennleist. Rotor.";32505375;5975134;01.08.14;08.10.15;"in Betrieb";"51011003789";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104 dB(A)tags; 103 dB(A) nachts";2000;"kW Nennleist. Rotor.";32505505;5972178;20.12.07;26.11.10;"in Betrieb";"51011003790";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 103,8dB(A) nachts ";2000;"kW Nennleist. Rotor.";32504611;5972535;20.12.07;26.11.10;"in Betrieb";"51011003790";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 103,8 dB(A) nachts";2000;"kW Nennleist. Rotor.";32504387;5972614;20.12.07;26.11.10;"in Betrieb";"51011003790";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 102,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32504734;5972726;20.12.07;26.11.10;"in Betrieb";"51011003790";"0004";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 99,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32504779;5972960;20.12.07;26.11.10;"in Betrieb";"51011003790";"0005";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 103,4dB(A) nachts";2000;"kW Nennleist. Rotor.";32505288;5972265;20.12.07;26.11.10;"in Betrieb";"51011003791";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A)tags; 103,8dB(A) nachts";2000;"kW Nennleist. Rotor.";32505073;5972355;20.12.07;26.11.10;"in Betrieb";"51011003792";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 102,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32504848;5972436;20.12.07;26.11.10;"in Betrieb";"51011003793";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A)tags; 102,5 dB(A) nachts";2000;"kW Nennleist. Rotor.";32505586;5972389;20.12.07;26.11.10;"in Betrieb";"51011003794";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 102,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32505371;5972480;20.12.07;26.11.10;"in Betrieb";"51011003795";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 102,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32505159;5972565;20.12.07;26.11.10;"in Betrieb";"51011003796";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 102,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32504945;5972648;20.12.07;26.11.10;"in Betrieb";"51011003797";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104 dB(A) tags; 99,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32504517;5972784;20.12.07;26.11.10;"in Betrieb";"51011003798";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags;  99,5 dB(A) nachts";2000;"kW Nennleist. Rotor.";32505216;5972790;20.12.07;26.11.10;"in Betrieb";"51011003798";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 99,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32505679;5972602;20.12.07;26.11.10;"in Betrieb";"51011003799";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 99,5dB(A) nachts";2000;"kW Nennleist. Rotor.";32505470;5972690;20.12.07;26.11.10;"in Betrieb";"51011003800";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon 82";"Enercon";"98";"82";"104dB(A) tags; 99,5 dB(A) nachts";2000;"kW Nennleist. Rotor.";32504997;5972878;20.12.07;26.11.10;"in Betrieb";"51011003801";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA Typ nicht bekannt";"Hersteller nicht bekannt";"78";"82";"105,0 dB(A) 96,1 dB(A)";2300;"kW Nennleist. Rotor.";32504835;5973788;07.04.14;29.07.14;"in Betrieb";"51011003802";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 1 Enercon E-115";"Enercon";"92";"115,7";"107,0 dB(A) / 96,0 dB(A)";3000;"kW Nennleist. Rotor.";32508615;5976247;28.12.16;18.08.17;"in Betrieb";"51011003803";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 2 Enercon E-101";"Enercon";"99";"101";"107,5 dB(A) / 97,0 dB(A)";3050;"kW Nennleist. Rotor.";32508950;5976325;28.12.16;28.07.17;"in Betrieb";"51011003803";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 3 Enercon E-101";"Enercon";"99";"101";"107,5 dB(A) / 102,0 dB(A)";3050;"kW Nennleist. Rotor.";32509206;5976057;28.12.16;25.07.17;"in Betrieb";"51011003803";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 4 Enercon E-115";"Enercon";"92";"115,7";"107,0 dB(A) / 101,8 dB(A)";3000;"kW Nennleist. Rotor.";32509371;5975633;28.12.16;31.07.17;"in Betrieb";"51011003803";"0004";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 5 Enercon E-115";"Enercon";"92";"115,7";"107,0 dB(A) / 105,4 dB(A)";3000;"kW Nennleist. Rotor.";32509655;5975442;28.12.16;28.07.17;"in Betrieb";"51011003803";"0005";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA Senvion 3.2M 114";"Senvion";"93";"114";"104,2 dB(A) 101,4 dB(A)";3200;"kW Nennleist. Rotor.";32507680;5974918;06.04.17;31.12.20;"in Betrieb";"51011003805";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Nordex N100";"Nordex";"100";"99,8";"105,5 dB(A) / 101,5 dB(A)";3300;"kW Nennleist. Rotor.";32507473;5975551;13.04.15;13.06.16;"in Betrieb";"51011003807";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 3 Nordex N100";"Nordex";"100";"99,8";"105,5 dB(A) / 101,5 dB(A)";3300;"kW Nennleist. Rotor.";32507784;5975256;13.04.15;29.06.16;"in Betrieb";"51011003808";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 2 Nordex N100/3300";"Nordex";"100";"99,8";"105,5dB(A) / 104,4dB(A)";3300;"kW Nennleist. Rotor.";32508202;5975756;02.06.15;28.06.16;"in Betrieb";"51011003810";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 4 Nordex N100 3,3MW";"Nordex";"100";"99,8";"105,5 dB(A) / 103,5dB(A)";3300;"kW Nennleist. Rotor.";32508500;5975298;02.06.15;30.06.16;"in Betrieb";"51011003811";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 3 Nordex N100/3,3MW";"Nordex";"100";"99,8";"105,5db(A) / 101,0dB(A)";3300;"kW Nennleist. Rotor.";32508102;5975368;02.06.15;30.06.16;"in Betrieb";"51011003814";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 2 Nordex N100";"Nordex";"100";"99,8";"105,5 dB(A) / 101,5  dB(A)";3300;"kW Nennleist. Rotor.";32507463;5975236;13.04.15;22.06.16;"in Betrieb";"51011003827";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Repower MD 70/1,5MW";"REpower";"65";"70";"104";1500;"kW Nennleist. Rotor.";32512174;5971396;07.10.03;18.05.04;"in Betrieb";"51011515468";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Repower MD 70/1,5MW";"REpower";"65";"70";"104";1500;"kW Nennleist. Rotor.";32512539;5971405;07.10.03;18.05.04;"in Betrieb";"51011515468";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"AN Bonus 37";"AN BONUS";"42,3";"37";"99";500;"kW Nennleist. Rotor.";32511982;5971375;18.10.93;17.02.94;"in Betrieb";"51011515470";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80 2,0MW";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506117;5975955;07.07.03;31.12.04;"in Betrieb";"51011515473";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506311;5975797;07.07.03;31.12.04;"in Betrieb";"51011515473";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506518;5975637;07.07.03;31.12.04;"in Betrieb";"51011515473";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506772;5975360;07.07.03;31.12.04;"in Betrieb";"51011515473";"0004";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506990;5975522;07.07.03;31.12.04;"in Betrieb";"51011515473";"0005";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506804;5975689;07.07.03;31.12.04;"in Betrieb";"51011515473";"0006";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506538;5975926;07.07.03;31.12.04;"in Betrieb";"51011515473";"0007";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506357;5976107;07.07.03;31.12.04;"in Betrieb";"51011515473";"0008";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506587;5976235;07.07.03;31.12.04;"in Betrieb";"51011515473";"0009";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506850;5976338;07.07.05;31.12.04;"in Betrieb";"51011515473";"0010";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon E66 1,5 MW";"Enercon";"68";"66";"103";1500;"kW Nennleist. Rotor.";32513990;5971806;11.09.95;27.03.97;"in Betrieb";"51011515479";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"AN Bonus 2MW/76";"AN BONUS";"80";"76";"106";2000;"kW Nennleist. Rotor.";32513600;5971660;22.05.01;01.02.02;"in Betrieb";"51011515486";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Micon M2300 1MW";"Micon";"60";"54";"103,7 dB(A)";1000;"kW Nennleist. Rotor.";32513562;5971428;25.02.97;01.04.97;"in Betrieb";"51011515487";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA AN Bonus";"AN BONUS";"50";"52";"105,5 dB(A)";1000;"kW Nennleist. Rotor.";32513814;5971430;31.12.99;31.12.99;"in Betrieb";"51011515487";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Nordex 52/800";"Nordex";"60";"52";"105,4 dB(A)/105,4 dB(A)";800;"kW Nennleist. Rotor.";32507077;5973990;30.03.94;20.04.95;"in Betrieb";"51011515507";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon E82";"Enercon";"98";"82";"104dB(A) tags; 103 dB(A) nachts";2000;"kW Nennleist. Rotor.";32504289;5972822;20.12.07;26.11.10;"in Betrieb";"51011515520";"0018";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 1 Enercon E82 E2 2,3 MW";"Enercon";"78";"82";"105,0";2300;"kW Nennleist. Rotor.";32505270;5974480;12.03.13;11.12.13;"in Betrieb";"51011900017";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA Enercon E82";"Enercon";"78";"82";"105";2300;"kW Nennleist. Rotor.";32505162;5973965;12.03.13;19.12.13;"in Betrieb";"51011900017";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA Enercon E82 E2";"Enercon";"78";"82";"105";2300;"kW Nennleist. Rotor.";32505493;5974142;12.03.13;19.12.13;"in Betrieb";"51011900017";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA Enercon E82 E2";"Enercon";"78";"82";"100,5";2300;"kW Nennleist. Rotor.";32505586;5973697;12.03.13;20.11.13;"in Betrieb";"51011900017";"0004";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA Enercon E82 E2";"Enercon";"78";"82";"100,5";2300;"kW Nennleist. Rotor.";32505747;5973517;12.03.13;25.11.13;"in Betrieb";"51011900017";"0005";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA Enercon E82 E2";"Enercon";"78,33";"82";"HZ /dB(A) | 63/78,8 | 125/83,9 | 250/86 | 500/88,4 | 1000/90,3 | 2000/89 | 4000/80,5 | 8000/ | SLP=95,3 dB(A)";2300;"kW Nennleist. Rotor.";32505217;5973683;;;"im Gen.Verf.";"51011900017";"0006";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon E-101";"Enercon";"99";"101";"107 dB(A) / 99,3dB(A)";3050;"kW Nennleist. Rotor.";32507063;5975264;31.07.14;13.07.15;"in Betrieb";"51011900019";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 4 REpower 3.4 M";"REpower";"80";"104";"105,6 dB(A)/ 100 dB(A)";3400;"kW Nennleist. Rotor.";32505594;5974952;01.08.14;23.10.15;"in Betrieb";"51011900021";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 4 Nordex N100";"Nordex";"100";"99,8";"105,5 dB(A) / 104,5 dB(A)";3300;"kW Nennleist. Rotor.";32507221;5974963;13.04.15;26.06.16;"in Betrieb";"51011900024";"0004";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 1 Nordex N100-3.3MW";"Nordex";"100";"99,8";"105,5dB(A) / 101,0dB(A)";3300;"kW Nennleist. Rotor.";32507868;5975625;02.06.15;29.06.16;"in Betrieb";"51011900026";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Diekhusen-Fahrstedt";"Enercon E-82 E2";"Enercon";"108";"82";"105,0 dB(A)/100,5 dB(A)";2300;"kW Nennleist. Rotor.";32500017;5975491;19.11.14;13.11.15;"in Betrieb";"51021000003";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Diekhusen-Fahrstedt";"WKA E-82 E2 Enercon";"Enercon";"108";"82";"105,0 dB(A)/104,0 dB(A)";2300;"kW Nennleist. Rotor.";32500161;5975226;19.11.14;04.11.15;"in Betrieb";"51021000004";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Dithmarschen";"Diekhusen-Fahrstedt";"Nordex N 149-5,7 MW";"Nordex";"105";"149";"HZ /dB(A) | 63/78,2 | 125/84,4 | 250/88,1 | 500/90,7 | 1000/91,4 | 2000/88,9 | 4000/81,3 | 8000/73,3 | SLP=96,5 dB(A)
";5700;"kW Nennleist. Rotor.";32502737;5978272;24.03.21;;"vor Inbetriebnahme";"51021000005";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
