"Kreis";"Ort";"Typ";"Hersteller";"Nabenhoehe";"Rotordurchmesser";"Schallleistungspegel";"Leistung";"Leistungsbezug";"Ostwert";"Nordwert";"Genehmigt_am";"Iinbetriebnahme";"Status";"Bst_Nr";"Anl_Nr";"Datendatum";"Datenquelle"
"Segeberg";"Rickling";"Typ Vestas V-162";"Vestas";"169";"162";;5600;"kW Nennleist. Rotor.";32577023;5980903;;;"im Gen.Verf.";"60068328044";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Rickling";"Typ Vestas V-136";"Vestas";"169";"162";;4200;"kW Nennleist. Rotor.";32576680;5980932;;;"im Gen.Verf.";"60068328045";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Schmalensee";"Vestas V126 mit Gesamthühe 180 m";"Vestas";"117";"126";;3600;"kW Nennleist. Rotor.";32584115;5991099;21.07.21;;"vor Inbetriebnahme";"60072329817";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Schmalensee";"Vestas V150 mit Gesamthühe 198 m";"Vestas";"123";"150";;4200;"kW Nennleist. Rotor.";32584315;5991421;21.07.21;;"vor Inbetriebnahme";"60072329817";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Schmalensee";"Enercon E-126 EP3";"Enercon";"134,35";"126,67";;4000;"kW Nennleist. Rotor.";32584359;5991713;;;"im Gen.Verf.";"60072329818";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Struvenhütten";"Typ Siemens-Gamesa 5.0-132; Gesamthühe 150 m";"Siemens";"84";"132";"106,2";5000;"kW Nennleist. Rotor.";32571861;5967897;31.03.22;;"vor Inbetriebnahme";"60077499999";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Sievershütten";"Typ Siemens-Gamesa 6.0-155; Gesamthühe 200 m";"Siemens";"122,5";"155";"105,0";6600;"kW Nennleist. Rotor.";32571575;5967665;31.03.22;;"vor Inbetriebnahme";"60077499999";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Struvenhütten";"Typ Siemens-Gamesa 6.0-155; Gesamthühe 200 m";"Siemens";"122,5";"155";"106,4";6600;"kW Nennleist. Rotor.";32571103;5967658;;;"im Gen.Verf.";"60077499999";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Damsdorf";"Enercon E-115";"Enercon";"135,4";"115,7";"105,4 dB(A)";3000;"kW Nennleist. Rotor.";32585022;5992517;31.08.16;28.09.17;"in Betrieb";"60080486254";"0012";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Damsdorf";"Enercon E-115";"Enercon";"135,4";"115,7";"105,4 dB(A)";3000;"kW Nennleist. Rotor.";32584686;5992299;31.08.16;27.08.17;"in Betrieb";"60080486254";"0014";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Damsdorf";"Enercon E-126 EP3";"Enercon";"134,35";"126,67";"107,5 db(A)";4000;"kW Nennleist. Rotor.";32584758;5991995;;;"im Gen.Verf.";"60080486254";"0017";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Weddelbrook";"Vestas V-150 6.0";"Vestas";"148";"150";"HZ /dB(A) | 63/87,2 | 125/95 | 250/99,9 | 500/101,8 | 1000/100,7 | 2000/96,5 | 4000/89,4 | SLP=106,6 dB(A)";6000;"kW Nennleist. Rotor.";32553374;5974553;;;"im Gen.Verf.";"60095343699";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Führden-Barl";"Vestas V-150 6.0";"Vestas";"148";"150";"HZ /dB(A) | 63/87,2 | 125/95 | 250/99,9 | 500/101,8 | 1000/100,7 | 2000/96,5 | 4000/89,4 | SLP=106,6 dB(A)";6000;"kW Nennleist. Rotor.";32553727;5974827;;;"im Gen.Verf.";"60095343699";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
